Quantity,Description,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1,Usage

"5","10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","CCTC","TCC0603X5R106K100CT","LCSC","C380314",""
"14","50V 100nF Y5V -20%~+80% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Walsin Tech Corp","0603F104Z500CT","LCSC","C83060",""
"2","6.3V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","CL21A226MQQNNNE","LCSC","C5674",""
"3","DIODE SCHOTTKY 40V 1A SOD123F","Shanghai Prisemi Elec","PSBD1DF40V1H","LCSC","C110730",""
"2","-30?~+85? RGB 110° 3535(mm) Light Emitting Diodes (LED) ROHS","Foshan NationStar Optoelectronics","RS-3535MWAM","LCSC","C842778",""
"5","2A 1 100mO 60O@100MHz ±25% 0603 Ferrite Beads ROHS","TAI-TECH","HCB1608KF-600T20","LCSC","C369516",""
"2","2POS 5MM","JILN","JL126-50002G01","LCSC","C394556",""
"1","CONN PWR JACK 2X5.5MM SOLDER","HCTL","HC-DC-005-2.0T","LCSC","C3010533",""
"1","Connector Header Through Hole 3 position 0.100"" (2.54mm)","Amphenol ICC (FCI)","77311-4AC-03LF","Digi-Key","77311-4AC-03LF-ND",""
"1","Header, Friction Lock; MTA-100; 5; 250 VAC; Polyester; Tin; Copper Alloy; Tin","TE Connectivity","640456-5","Digi-Key","A19471-ND",""
"1","CONN RCPT USB2.0 MINI B SMD R/A","EDAC Inc.","KH-MINI-SMT-5P-Cu","LCSC","C2688795",""
"7","MOSFET N-CH 20V SOT23","Doeshare","DN2302S","LCSC","C2931750",""
"1","RES SMD 4.7k OHM 5% 1/10W 0603","FOJAN","FRC0603J103TS","LCSC","C2930027",""
"8","RES SMD 1k OHM 5% 1/10W 0603","FOJAN","FRC0603J102 TS","LCSC","C2907113",""
"4","RES SMD 330R OHM 5% 1/10W 0603","FOJAN","FRC0603J331 TS","LCSC","C2907152",""
"2","RES SMD 280R OHM 5% 1/10W 0603","FOJAN","FRC0603J331 TS","LCSC","C2907152",""
"16","RES SMD 10k OHM 5% 1/10W 0603","FOJAN","FRC0603J103TS","LCSC","C2930027",""
"1","RES SMD 3k3 OHM 5% 1/10W 0603","FOJAN","FRC0603J332 TS","LCSC","C2907140",""
"4","SWITCH TACTILE SPST-NO 0.05A 12V","BZCN","TSC015A05026A","LCSC","C2888509",""
"1","1A 70dB@(120Hz) 5mA 1.2V@1A Adjustable 1.2V~20V Positive 1 20V Output Adjustable SOT-223-3L Linear Voltage Regulators (LDO) ROHS","WPMtek(Wei Pan Microelectronics)","AMS1117-ADJ","LCSC","C2688238",""
"1","TVS DIODE 5.25V 17V SOT23-6","STMicroelectronics","USBLC6-2SC6","LCSC","C7519",""
"1","IC USB TO UART BRIDGE QFN20","Silicon Labs","CP2102N-A02-GQFN20R","LCSC","C969913",""
"1","IC FLASH 16M SPI 85MHZ 8SOP","Zetta","ZD25WQ16BTIGR","LCSC","C2896790",""
"1","IC MCU 32BIT 64KB FLASH 48LQFP","STMicroelectronics","STM32F030C8T6TR","LCSC","C23922",""
